model,cv_seed,mean_balanced_accuracy,mean_log_loss
hist_gbdt_raw_t0p5,11,0.6495238095238095,0.8534689365601507
kanboost_bandpower_select80,11,0.6657142857142857,0.5973767666320924
kanboost_combined_select80,11,0.653452380952381,0.588933530457299
kanboost_connectivity_only,11,0.6673809523809524,0.5997395949081152
hist_gbdt_raw_t0p5,22,0.6936904761904762,0.8660946409263239
kanboost_bandpower_select80,22,0.7204761904761904,0.5565136534965113
kanboost_combined_select80,22,0.7395238095238096,0.538682401861198
kanboost_connectivity_only,22,0.7910714285714285,0.528296452757621
hist_gbdt_raw_t0p5,33,0.6507142857142857,0.8490686353429895
kanboost_bandpower_select80,33,0.7269047619047619,0.5585395927646497
kanboost_combined_select80,33,0.6998809523809524,0.5642182023424034
kanboost_connectivity_only,33,0.634047619047619,0.5929540892029459
hist_gbdt_raw_t0p5,44,0.6625,0.6833789442406503
kanboost_bandpower_select80,44,0.6514285714285715,0.6111069111768177
kanboost_combined_select80,44,0.6969047619047619,0.5511247291684368
kanboost_connectivity_only,44,0.7115476190476191,0.5598271252679992
hist_gbdt_raw_t0p5,55,0.6970238095238095,0.6778173822783622
kanboost_bandpower_select80,55,0.7059523809523809,0.5616362583887832
kanboost_combined_select80,55,0.6851190476190476,0.5666291305506811
kanboost_connectivity_only,55,0.6327380952380952,0.5728214552899824
