model,cv_seed,fold,threshold,balanced_accuracy,f1_macro,log_loss,roc_auc,fit_seconds
hist_gbdt_raw_t0p5,11,1,0.5,0.45,0.4484848484848485,0.9841926454505252,0.5750000000000001,0.0
hist_gbdt_raw_t0p5,11,2,0.5,0.8333333333333333,0.8375,0.7104903248276423,0.7619047619047619,0.0
hist_gbdt_raw_t0p5,11,3,0.5,0.5952380952380952,0.5751633986928104,1.1054318371313794,0.6428571428571429,0.0
hist_gbdt_raw_t0p5,11,4,0.5,0.7619047619047619,0.7636363636363637,0.73243845126363,0.7142857142857143,0.0
hist_gbdt_raw_t0p5,11,5,0.5,0.6071428571428572,0.606060606060606,0.7347914241275763,0.6904761904761906,0.0
hist_gbdt_raw_t0p5,22,1,0.5,0.5875,0.5357142857142857,1.3693092942888516,0.55,0.0
hist_gbdt_raw_t0p5,22,2,0.5,0.5952380952380952,0.5751633986928104,0.9437168075602723,0.7380952380952381,0.0
hist_gbdt_raw_t0p5,22,3,0.5,0.7619047619047619,0.7636363636363637,0.5481239199526631,0.7857142857142857,0.0
hist_gbdt_raw_t0p5,22,4,0.5,0.7738095238095238,0.7692307692307693,0.5082756266912434,0.8571428571428572,0.0
hist_gbdt_raw_t0p5,22,5,0.5,0.75,0.7450980392156863,0.9610475561385888,0.7857142857142857,0.0
hist_gbdt_raw_t0p5,33,1,0.5,0.575,0.5751633986928104,1.220355788357831,0.6,0.0
hist_gbdt_raw_t0p5,33,2,0.5,0.5238095238095238,0.5125,0.6680790810501451,0.7380952380952381,0.0
hist_gbdt_raw_t0p5,33,3,0.5,0.7738095238095238,0.7692307692307693,0.4940230197805168,0.8571428571428572,0.0
hist_gbdt_raw_t0p5,33,4,0.5,0.6904761904761905,0.6904761904761905,0.8823862839214489,0.6904761904761905,0.0
hist_gbdt_raw_t0p5,33,5,0.5,0.6904761904761905,0.6904761904761905,0.9804990036050055,0.6666666666666666,0.0
hist_gbdt_raw_t0p5,44,1,0.5,0.8125,0.7692307692307693,0.3490414394958789,0.925,0.0
