model,cv_seed,mean_balanced_accuracy,mean_log_loss
hist_gbdt_raw_t0p5,11,0.6495238095238095,0.8534689365601507
kanboost_bandpower_inner_global,11,0.6972619047619047,0.5973767666320924
kanboost_combined_inner_global,11,0.7133333333333333,0.588933530457299
hist_gbdt_raw_t0p5,22,0.6936904761904762,0.8660946409263239
kanboost_bandpower_inner_global,22,0.7728571428571429,0.5565136534965113
kanboost_combined_inner_global,22,0.6957142857142857,0.538682401861198
hist_gbdt_raw_t0p5,33,0.6507142857142857,0.8490686353429895
kanboost_bandpower_inner_global,33,0.7292857142857143,0.5585395927646497
kanboost_combined_inner_global,33,0.7064285714285715,0.5642182023424034
hist_gbdt_raw_t0p5,44,0.6625,0.6833789442406503
kanboost_bandpower_inner_global,44,0.6385714285714286,0.6111069111768177
kanboost_combined_inner_global,44,0.6734523809523809,0.5511247291684368
hist_gbdt_raw_t0p5,55,0.6970238095238095,0.6778173822783622
kanboost_bandpower_inner_global,55,0.6875,0.5616362583887832
kanboost_combined_inner_global,55,0.706547619047619,0.5666291305506811
